,Latitude,Longitude,location,Occurrence Time,Zone / Region,Observer Affiliation,Associated Observation,# Avalanches:,Aspect:,Slope Angle:,Elevation:,Vertical Fall:,Destructive Size:,Relative Size:,Type:,Bed Surface:,Width:,Trigger:,Occurrence Date,Observer type,Avalanche Summary,Slab Thickness:
78,48.402214,-114.13365,Noisy,Not Reported,Swan Range,fac,View Observation,3,NE,,6700 ft,,D1.5,,SS-Soft Slab,U-Unknown,200 ft,N-Natural,"Feb 21, 2023 (Estimated)",forecaster,Observed three crowns. Appeared to be soft slabs. Varying aspects. ,40 cm (1.5 ft)
79,48.402214,-114.13365,Hay Creek,Not Reported,Whitefish Range,fac,View Observation,1,SE,40°,6500 ft,1200 ft,D3,R3,HS-Hard Slab,O-Old Snow,600 ft,N-Natural,"Feb 21, 2023 (Estimated)",forecaster,,100 cm (3.5 ft)
80,48.402214,-114.13365,Cascadilla,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,,6600 ft,500 ft,D3,R3,HS-Hard Slab,,600 ft,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,,100 cm (3.5 ft)
81,48.402214,-114.13365,Cascadilla,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,E,,6400 ft,250 ft,D3,R2,HS-Hard Slab,,500 ft,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,,100 cm (3.5 ft)
82,48.402214,-114.13365,Cascadilla,Not Reported,Flathead Range & Glacier NP,fac,View Observation,10,NW,,5200 ft,200 ft,D1.5,R2,SS-Soft Slab,I-New/Old Interface,,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,Width varied between 40-150 feet,40 cm (1.5 ft)
83,48.402214,-114.13365,Cascadilla,Not Reported,Flathead Range & Glacier NP,fac,View Observation,6,SE,,5800 ft,1300 ft,D2,,SS-Soft Slab,I-New/Old Interface,,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,I could not see the crowns and therefore can not estimate slab characteristics,
84,48.402214,-114.13365,Northeast-facing slope below Snowshed Mountain.,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,,6800 ft,300 ft,D2,,HS-Hard Slab,I-New/Old Interface,150 ft,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,We estimated that the wind loaded the slope to the tipping point. We could not safely access the crown.,3 cm (0 ft)
85,48.402214,-114.13365,Flathead Range,23:01 (Exact),Flathead Range & Glacier NP,fac,View Observation,5,NE,40°,6000 ft,,D2,R3,HS-Hard Slab,O-Old Snow,500 ft,N-Natural,"Feb 20, 2023 (Exact)",forecaster,Observed 5+ D2s or D3s off Mt. Penrose up Chrystal Drainage. Crowns spanned long distances and wrapped around terrain features. ,100 cm (3.5 ft)
86,48.402214,-114.13365,Mt Marston,Not Reported,Whitefish Range,fac,View Observation,4,SE,,6300 ft,10 ft,D1,R1,L-Dry Loose,I-New/Old Interface,,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,,30 cm (1 ft)
87,48.402214,-114.13365,Marston,Not Reported,Whitefish Range,fac,View Observation,2,SE,35°,6300 ft,10 ft,D1,R1,SS-Soft Slab,I-New/Old Interface,20 ft,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,,30 cm (1 ft)
88,48.402214,-114.13365,Marston,Not Reported,Whitefish Range,fac,View Observation,1,SE,45°,6800 ft,100 ft,D1,R1,SS-Soft Slab,I-New/Old Interface,50 ft,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,,30 cm (1 ft)
89,48.402214,-114.13365,Nyack,23:35 (Estimated),Flathead Range & Glacier NP,fac,View Observation,2,E,,,,D3,R2,HS-Hard Slab,O-Old Snow,,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,Rough estimate of the number of avalanches observed not already accounted for.,
90,48.402214,-114.13365,Cascadilla,Not Reported,Flathead Range & Glacier NP,fac,View Observation,5,NW,,5500 ft,1000 ft,D2,,SS-Soft Slab,I-New/Old Interface,,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,I could not see the crowns and therefore can not estimate slab characteristics,
91,48.402214,-114.13365,Cascadilla,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,,5900 ft,1400 ft,D3,,HS-Hard Slab,,,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,I could not see the crowns and therefore can not estimate slab characteristics,
92,48.402214,-114.13365,Snowshed,23:36 (Estimated),Flathead Range & Glacier NP,fac,View Observation,1,,,7000 ft,800 ft,D3,R4,HS-Hard Slab,O-Old Snow,1800 ft,N-Natural,"Feb 20, 2023 (Estimated)",forecaster,This slab failed on facets just below the mid-January crust. We traced crownline 1200 feet and it conitnued out of site. Visibility was poor. ,90 cm (3 ft)
93,48.402214,-114.13365,Fern,Not Reported,Whitefish Range,fac,View Observation,1,SE,32°,6000 ft,250 ft,D2,R2,SS-Soft Slab,O-Old Snow,150 ft,AS-Skieru-Unintentional,"Feb 19, 2023 (Exact)",public,,45 cm (1.5 ft)
94,48.402214,-114.13365,Marion,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,,6700 ft,,D1,,SS-Soft Slab,,,AS-Skierc-Intentional,"Feb 19, 2023 (Exact)",public,,
95,48.402214,-114.13365,West Side Swan,14:12 (Exact),Swan Range,fac,View Observation,1,NW,37°,6550 ft,20 ft,D1,R1,SS-Soft Slab,O-Old Snow,30 ft,AS-Skieru-Unintentional,"Feb 19, 2023 (Exact)",forecaster,Knocked me off my feet. Carried a very short distance before coming to a stop on a small bench. ,45 cm (1.5 ft)
96,48.402214,-114.13365,West Side Swan,12:15 (Exact),Swan Range,fac,View Observation,10,NW,38°,6000 ft,30 ft,D1,R1,L-Dry Loose,S-New Snow,,AS-Skierc-Intentional,"Feb 19, 2023 (Exact)",forecaster,Muliple loose dry triggered intentionally on descent. Easy to manage. Few cracked and behaved like soft slab. ,
97,48.402214,-114.13365,Running Rabbit,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,N,,7000 ft,,D1,,SS-Soft Slab,,,AC-Human-caused cornice fallc-Intentional,"Feb 14, 2023 (Exact)",public,Triggered a small soft wind slab avalanche on a north/northeast aspect off running rabbit while traversing a ridgeline. It broke 25-30ft across and ran ~200 vertical feet. ,3 cm (0 ft)
98,48.402214,-114.13365,Jewel Basin- estimated NE slope,Not Reported,Swan Range,fac,View Observation,1,NE,38°,7000 ft,250 ft,D1.5,,SS-Soft Slab,I-New/Old Interface,100 ft,N-Natural,"Feb 12, 2023 (Estimated)",forecaster,"photo taken from 48.18783, -113.94605- standing at 6465 feet. Most of the details unknown. ",6 cm (0 ft)
99,48.402214,-114.13365,"Peak 7,787 (above Marion Lake)",Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,E,45°,7750 ft,,D1,R3,SS-Soft Slab,,,N-Natural,"Feb 11, 2023 (Estimated)",public,"Difficult to see debris. crown evident and observed in ""pocket"" terrain. ",
100,48.402214,-114.13365,Essex Mountain,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NW,45°,6000 ft,800 ft,D1.5,R3,HS-Hard Slab,U-Unknown,,N-Natural,"Feb 11, 2023 (Estimated)",public,,
101,48.402214,-114.13365,Flathead Range,Not Reported,Flathead Range & Glacier NP,fac,View Observation,2,NE,,,,D2,,HS-Hard Slab,,,N-Natural,"Feb 10, 2023 (Estimated)",public,,
102,48.402214,-114.13365,South Fork Swan,Not Reported,Swan Range,fac,View Observation,1,SE,,6200 ft,,D1.5,,,,,AM-Snowmobileu-Unintentional,"Feb 10, 2023 (Exact)",public,,
103,48.402214,-114.13365,Brown Creek,Not Reported,Swan Range,fac,View Observation,1,SE,,6300 ft,750 ft,D3,R2,WS-Wet Slab,G-Ground,200 ft,N-Natural,"Feb 9, 2023 (Estimated)",forecaster,"It ran sometime either this morning (2/9) or last evening after 5pm, when I photographed the glide crack on the left and there was no sign whatsoever of the patch weakening that has now failed on the right.",200 cm (6.5 ft)
104,48.402214,-114.13365,Disbrow,12:38 (Exact),Flathead Range & Glacier NP,fac,View Observation,2,SE,40°,6000 ft,50 ft,D1,,SS-Soft Slab,I-New/Old Interface,20 ft,AS-Skierc-Intentional,"Feb 8, 2023 (Exact)",forecaster,Slabs failed at two interfaces. One is a new/old snow from last night on graupel. The second is on a layer of decomposing stellar dendrites that fell last week.,30 cm (1 ft)
105,48.402214,-114.13365,Grant,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,40°,6500 ft,1000 ft,D2,R1,SS-Soft Slab,,100 ft,N-Natural,"Feb 7, 2023 (Estimated)",forecaster,"Fairly obscured view, but was able to see crown and debris looking towards the shoulder of grant. This slide was itty bitty relative to the terrain. ",50 cm (1.5 ft)
106,48.402214,-114.13365,Blaine,Not Reported,Swan Range,fac,View Observation,1,NE,,7100 ft,1000 ft,D1,,SS-Soft Slab,,,,"Feb 6, 2023 (Estimated)",forecaster,Saw debris from side of Blaine. Unknown type. Possible cornice fall or small wind slab. ,
107,48.402214,-114.13365,Doris,16:07 (Estimated),Swan Range,fac,View Observation,3,NE,40°,7000 ft,,D1.5,R3,SS-Soft Slab,,100 ft,N-Natural,"Feb 5, 2023 (Estimated)",forecaster,Observed three wind slabs. ,40 cm (1.5 ft)
108,48.402214,-114.13365,Chute above Skiumah Lake,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,38°,5125 ft,100 ft,D1,R1,HS-Hard Slab,I-New/Old Interface,30 ft,AS-Skieru-Unintentional,"Feb 5, 2023 (Exact)",forecaster,Caught and carried 2 riders over a cliff band.,35 cm (1 ft)
109,48.402214,-114.13365,Blaine,Not Reported,Swan Range,fac,View Observation,1,E,,7000 ft,,D1.5,,SS-Soft Slab,,,,"Feb 4, 2023 (Estimated)",forecaster,Unknown type. Guessing soft slab. Blown in crown. ,
110,48.402214,-114.13365,Tranquil Basin,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,E,,7000 ft,200 ft,D1,R1,L-Dry Loose,S-New Snow,,AS-Skieru-Unintentional,"Feb 2, 2023 (Exact)",public,,
111,48.402214,-114.13365,Running Rabbit,13:00 (Exact),Flathead Range & Glacier NP,fac,View Observation,1,,,,,,,,,,,"Feb 2, 2023 (Exact)",forecaster,,
112,48.402214,-114.13365,Flathead Range,Not Reported,Flathead Range & Glacier NP,fac,View Observation,5,,40°,7200 ft,60 ft,D1,,L-Dry Loose,,,AS-Skierc-Intentional,"Feb 1, 2023 (Exact)",forecaster,Small loose dry triggered on small rollovers at all elevations. ,
113,48.402214,-114.13365,Flathead Range,Not Reported,Flathead Range & Glacier NP,fac,View Observation,5,NE,40°,7200 ft,100 ft,D1,R1,SS-Soft Slab,I-New/Old Interface,30 ft,AS-Skierc-Intentional,"Feb 1, 2023 (Exact)",forecaster,Found some lightly wind drifted features and freshly wind drifted snow was reactive with ski cuts. ,20 cm (0.5 ft)
114,48.402214,-114.13365,Grant Ridge drainage,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,,,,D3,,,,1500 ft,,"Feb 1, 2023 (Estimated)",public,Guess on size. ,
115,48.402214,-114.13365,Running Rabbit,13:00 (Exact),Flathead Range & Glacier NP,fac,View Observation,2,SW,35°,5400 ft,,D1,R1.5,WL-Wet Loose,S-New Snow,,N-Natural,"Feb 1, 2023 (Exact)",forecaster,Recent wet loose debris in path 1163.  Could not see where these started. ,
116,48.402214,-114.13365,Swan Range South of Swan Lake,Not Reported,Swan Range,fac,View Observation,2,NW,45°,6800 ft,,D1,R1,SS-Soft Slab,O-Old Snow,20 ft,N-Natural,"Feb 1, 2023 (Estimated)",forecaster,Small crowns that had drifted back in.  Could not make out track.  Did not approach to look for debris piles.,30 cm (1 ft)
117,48.402214,-114.13365,Swan Range South of Swan Lake,Not Reported,Swan Range,fac,View Observation,1,SW,45°,4700 ft,15 ft,D1,R1,SS-Soft Slab,O-Old Snow,30 ft,N-Natural,"Feb 1, 2023 (Estimated)",forecaster,Small crown on a convexity.,30 cm (1 ft)
118,48.402214,-114.13365,Running Rabit,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,S,,5800 ft,300 ft,D1,,SS-Soft Slab,,60 ft,AS-Skieru-Unintentional,"Jan 29, 2023 (Exact)",public,,
119,48.402214,-114.13365,Jewel,Not Reported,Swan Range,fac,View Observation,3,,,7000 ft,50 ft,D1,R1,SS-Soft Slab,I-New/Old Interface,15 ft,AS-Skierc-Intentional,"Jan 29, 2023 (Exact)",forecaster,One slab was hard. This slab propagated and didn't slide far due to the terrain we were in. ,20 cm (0.5 ft)
120,48.402214,-114.13365,Jewel Basin,Not Reported,Swan Range,fac,View Observation,4,W,45°,7000 ft,400 ft,D1,R2,L-Dry Loose,S-New Snow,,N-Natural,"Jan 28, 2023 (Exact)",forecaster,Loose dry on west aspects. ,
121,48.402214,-114.13365,Running Rabbit Mtn - S face Path 1163,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,S,,,,D2,,,I-New/Old Interface,,N-Natural,"Jan 28, 2023 (Exact)",public,Only debris in the runout clearly visible. Likely a wind slab. Released in upper part of the path but visibility obscured by fog.,
122,48.402214,-114.13365,Running Rabbit Mtn - SE face Shed 10,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,,,,D2,,,,,N-Natural,"Jan 28, 2023 (Exact)",public,Only debris in the runout clearly visible. Likely a wind slab. Released in upper part of the path but visibility obscured by fog.,
123,48.402214,-114.13365,Snowshed,Not Reported,Flathead Range & Glacier NP,fac,View Observation,3,N,,,50 ft,D1,R1,SS-Soft Slab,I-New/Old Interface,20 ft,AS-Skierc-Intentional,"Jan 28, 2023 (Exact)",public,Small predictable storm slab avalanches triggered in steeper pockets of rolling terrain.,10 cm (0.5 ft)
124,48.402214,-114.13365,Jewel,Not Reported,Swan Range,fac,View Observation,3,N,40°,7000 ft,300 ft,D1.5,R1,SS-Soft Slab,,,N-Natural,"Jan 27, 2023 (Estimated)",forecaster,We saw a few chunky piles of debris that had wind blown snow on them. ,
125,48.402214,-114.13365,Noisy Basin Pt 6437,11:15 (Exact),Swan Range,fac,View Observation,2,NE,,6200 ft,200 ft,D1,,L-Dry Loose,S-New Snow,,AS-Skierc-Intentional,"Jan 27, 2023 (Exact)",forecaster,Stomping at the top of very steep slopes produced small but long running sluffs in the new snow.,
126,48.402214,-114.13365,Noisy Basin Pt 6437,Not Reported,Swan Range,fac,View Observation,10,NE,40°,6300 ft,150 ft,D1.5,,L-Dry Loose,S-New Snow,,N-Natural,"Jan 27, 2023 (Exact)",forecaster,Small natural sluffs in most very steep (40*) terrain features.,
127,48.402214,-114.13365,Lost Johnny,Not Reported,Swan Range,fac,View Observation,2,,,6200 ft,,,,SS-Soft Slab,O-Old Snow,,,"Jan 25, 2023 (Exact)",forecaster,Individual mentioned it did not appear to be a windslab. Unknown size. ,50 cm (1.5 ft)
128,48.402214,-114.13365,Cascadilla,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,,5200 ft,,D1,,SS-Soft Slab,,,AS-Skierc-Intentional,"Jan 22, 2023 (Exact)",public,Thin wind slab,12 cm (0.5 ft)
129,48.402214,-114.13365,Lone Pine,Not Reported,Whitefish Range,fac,View Observation,2,NE,,6700 ft,,D1,,SS-Soft Slab,,30 ft,AE-Explosive triggeredc-Intentional,"Jan 22, 2023 (Exact)",forecaster,Slabs consisted of wind-drifted snow.,15 cm (0.5 ft)
130,48.402214,-114.13365,Start zone ~ 48.0772N / -113.8937W,Not Reported,Swan Range,fac,View Observation,2,W,,6600 ft,,D1.5,,L-Dry Loose,,,N-Natural,"Jan 21, 2023 (Exact)",public,,
131,48.402214,-114.13365,"Crater Mountain, Swan Range",Not Reported,Swan Range,fac,View Observation,3,S,,6200 ft,,,,,,,N-Natural,"Jan 21, 2023 (Exact)",public,,
132,48.402214,-114.13365,Jenny Lake,Not Reported,Swan Range,fac,View Observation,1,SE,,6300 ft,20 ft,D1,,SS-Soft Slab,,,AM-Snowmobiler-Remote,"Jan 21, 2023 (Exact)",forecaster,"Small, steep pocket on larger slope that cracked when snowbiker landed a jump.",60 cm (2 ft)
133,48.402214,-114.13365,east of Kona gully,15:00 (Exact),Whitefish Range,fac,View Observation,3,N,40°,5500 ft,75 ft,D1,,L-Dry Loose,I-New/Old Interface,5 ft,AS-Skierc-Intentional,"Jan 19, 2023 (Exact)",forecaster,Triggered several very small but long running sluffs on very steep slopes near the canyon floor. ,4 cm (0 ft)
134,48.402214,-114.13365,N. Whitefish Range,13:31 (Exact),Whitefish Range,fac,View Observation,3,,,,,D1,,,,,AS-Skierc-Intentional,"Jan 17, 2023 (Exact)",public,,
135,48.402214,-114.13365,Lost Johnny,12:45 (Exact),Swan Range,fac,View Observation,1,NE,38°,6700 ft,,D2,R2,SS-Soft Slab,O-Old Snow,200 ft,AS-Skierr-Remote,"Jan 15, 2023 (Exact)",forecaster,Walked up to the ridgeline and gave one soft stomp and triggered the first slab. This slab failed between two naturals that must have ran a few days ago. ,60 cm (2 ft)
136,48.402214,-114.13365,Lost Johnny,13:48 (Exact),Swan Range,fac,View Observation,1,NE,38°,6800 ft,,D1,R2,SS-Soft Slab,O-Old Snow,100 ft,AS-Skierc-Intentional,"Jan 15, 2023 (Exact)",forecaster,"Slab failed at a convexity from a falling cornice that we triggered. Again, this slab also failed between two other naturals. ",30 cm (1 ft)
137,48.402214,-114.13365,Penrose N path,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,N,,4500 ft,,D2.5,,WL-Wet Loose,,,N-Natural,"Jan 15, 2023 (Estimated)",public,"Looked like 6'+ debris and 150' wide.  Unsure of elevation of start zone.  Fresh from last warm period, distinct from other N aspect loose wet debris from Santa Soaker.  ",
138,48.402214,-114.13365,Cascadilla Creek,Not Reported,Flathead Range & Glacier NP,fac,View Observation,10,NE,,,,,,WL-Wet Loose,,,N-Natural,"Jan 14, 2023 (Estimated)",public,Recent wet slides observed at all aspects,
139,48.402214,-114.13365,Hay Creek,Not Reported,Whitefish Range,fac,View Observation,1,,,,,D2,R2,,,,,"Jan 13, 2023 (Estimated)",forecaster,Older debris pile.  Possible loose wet from mid-January warming.,
140,48.402214,-114.13365,Skook chute,Not Reported,Whitefish Range,fac,View Observation,1,SE,,6200 ft,,D2,,WL-Wet Loose,,,N-Natural,"Jan 13, 2023 (Exact)",public,"Terminus at 48.51310, -114.31549 piled up around 120 cm depth, overflowed road and small amount of debris ran to lower road. Path as high as can see, assume full distance but did not appear to step down. Snow pit obs next to road here.",35 cm (1 ft)
141,48.402214,-114.13365,Sheep Mt.,10:06 (Estimated),Flathead Range & Glacier NP,fac,View Observation,1,,,,,D2,,,,,,"Jan 13, 2023 (Estimated)",public,,
142,48.402214,-114.13365,Lost Johnny,16:50 (Estimated),Swan Range,fac,View Observation,10,,,5500 ft,,D1.5,R2,WL-Wet Loose,,,,"Jan 13, 2023 (Estimated)",forecaster,General summary of avalanches we observed from Friday's warmup. Saw roughly 10 wet loose avalanches on all aspects at middle elevation. Most were small/medium in size.,
143,48.402214,-114.13365,North Dickey,18:02 (Estimated),Flathead Range & Glacier NP,fac,View Observation,2,SE,,5600 ft,,D2,R2,U-Unknown,O-Old Snow,200 ft,N-Natural,"Jan 13, 2023 (Estimated)",forecaster,Vague details. Observed from a long ways away. Crown appeared fairly recent. Best guess of timing would be during recent warming and rain. ,60 cm (2 ft)
144,48.402214,-114.13365,SE Steep chutes above Dickie Creek,12:00 (Estimated),Flathead Range & Glacier NP,fac,View Observation,3,SE,40°,6200 ft,300 ft,D1,,WL-Wet Loose,U-Unknown,50 ft,N-Natural,"Jan 13, 2023 (Estimated)",forecaster,,
145,48.402214,-114.13365,Lost Johnny,15:53 (Estimated),Swan Range,fac,View Observation,1,,40°,6000 ft,1000 ft,D2,R2,WL-Wet Loose,,,,"Jan 13, 2023 (Estimated)",forecaster,,
146,48.402214,-114.13365,Skinny skook chute 1,Not Reported,Whitefish Range,fac,View Observation,1,SE,,6200 ft,,D1.5,,WL-Wet Loose,,,N-Natural,"Jan 13, 2023 (Exact)",public,"Terminus at 48.51177, -114.31392 deposited estimated 60 cm on upper Rd. Appeared to squiggle through woods. Did not step down to lower layers, ran on Xmas crust",35 cm (1 ft)
147,48.402214,-114.13365,Skook Chutes,Not Reported,Whitefish Range,fac,View Observation,2,S,40°,6000 ft,300 ft,D1.5,R1,WL-Wet Loose,S-New Snow,20 ft,N-Natural,"Jan 12, 2023 (Estimated)",forecaster,,
148,48.402214,-114.13365,Wildcat Mountain,12:00 (Exact),Swan Range,fac,View Observation,1,NE,,6200 ft,400 ft,D2,,SS-Soft Slab,O-Old Snow,100 ft,AM-Snowmobiler-Remote,"Jan 11, 2023 (Exact)",forecaster,Dry snow moving on rain crust. Remote triggered. No riders injured.,30 cm (1 ft)
149,48.402214,-114.13365,Cascadilla,Not Reported,Flathead Range & Glacier NP,fac,View Observation,5,E,,7200 ft,,D2,,WL-Wet Loose,,,N-Natural,"Jan 10, 2023 (Exact)",public,,
150,48.402214,-114.13365,Marion Lake North Aspect,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,N,,6600 ft,,D1,,L-Dry Loose,,,AS-Skieru-Unintentional,"Jan 4, 2023 (Exact)",public,,
151,48.402214,-114.13365,Skiumah Lake,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,,7000 ft,,D2,,SS-Soft Slab,,,N-Natural,"Jan 4, 2023 (Estimated)",public,,
152,48.402214,-114.13365,Great Northern Sub Peak 8508',Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,,7800 ft,,D3,,HS-Hard Slab,G-Ground,,N-Natural,"Jan 2, 2023 (Estimated)",public,Deep Slab/Glide. Bed surface is a smooth polished slab of bedrock.,
153,48.402214,-114.13365,Disbrow Creek,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,,7000 ft,,D1.5,,L-Dry Loose,,,NC-Cornice Fall,"Dec 31, 2022 (Exact)",public,Failed within recent storm snow,
154,48.402214,-114.13365,Shed 7 West,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,,5600 ft,,D1,,SS-Soft Slab,,,AS-Skier,"Dec 30, 2022 (Exact)",public,On a steep sidewall of the gully in the bottom of the path,15 cm (0.5 ft)
155,48.402214,-114.13365,"East of WMR, near “half moon”",Not Reported,Whitefish Range,fac,View Observation,1,SW,,5800 ft,,,,,,,U-Unknown,"Dec 29, 2022 (Estimated)",public,Photo was sent to me by a friend… I encouraged him to submit an observation w/ more details,
156,48.402214,-114.13365,10' cut banks by road,00:25 (Exact),Whitefish Range,fac,View Observation,2,NE,,6400 ft,10 ft,D1,,SS-Soft Slab,O-Old Snow,,AK-Snowcatu-Unintentional,"Dec 28, 2022 (Exact)",public,Fracturing below moist snow 12/23,40 cm (1.5 ft)
157,48.402214,-114.13365,Skook Ridge,14:10 (Exact),Whitefish Range,fac,View Observation,1,NE,,6800 ft,,D1,R1,SS-Soft Slab,I-New/Old Interface,20 ft,AS-Skierc-Intentional,"Dec 28, 2022 (Exact)",forecaster,Another slide triggered with a cornice drop that didn't involve as much debris.,20 cm (0.5 ft)
158,48.402214,-114.13365,Skook Ridge,14:15 (Exact),Whitefish Range,fac,View Observation,2,NE,,6800 ft,125 ft,D2,R2,C-Cornice,I-New/Old Interface,70 ft,AS-Skierc-Intentional,"Dec 28, 2022 (Exact)",forecaster,"Triggered two soft slabs of drifted snow with cornice drops from the ridge. Car-sized cunks of cornice, though actual slab debris was more like D1.5.  Bed surface seemed to be older wind slab.",25 cm (1 ft)
159,48.402214,-114.13365,Grant Ridge (Disbrow High Point),Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,,6200 ft,,D3,,WL-Wet Loose,,,N-Natural,"Dec 28, 2022 (Estimated)",public,"Observed from ridgeline on the other side of the drainage. Flat light/moderately poor visibility. Confidence poor on initiation/crown location/s, but significant debris filling the gully was apparent. Estimated size 3 given the path characteristics and other recent activity reported. Would need a better look for a more accurate report on this slide.",
160,48.402214,-114.13365,Rescue,17:43 (Estimated),Flathead Range & Glacier NP,fac,View Observation,1,SE,45°,5500 ft,600 ft,D2,R2,HS-Hard Slab,G-Ground,80 ft,N-Natural,"Dec 28, 2022 (Estimated)",forecaster,Appeared to be a Glide Avalanche. See Photos. ,100 cm (3.5 ft)
161,48.402214,-114.13365,Penrose East Face,17:45 (Estimated),Flathead Range & Glacier NP,fac,View Observation,1,E,45°,7500 ft,2000 ft,D2.5,R3,HS-Hard Slab,U-Unknown,300 ft,N-Natural,"Dec 28, 2022 (Estimated)",forecaster,Observed from a distance. Upper face of Penrose appeared to have numerous crowns stretch most of the east face. Some looked to go down to the rock. ,
162,48.402214,-114.13365,Path 1163 S face Running Rabbit Mtn,00:08 (Exact),Flathead Range & Glacier NP,fac,View Observation,1,SE,40°,6000 ft,1400 ft,D2.5,R2,WL-Wet Loose,O-Old Snow,,N-Natural,"Dec 27, 2022 (Exact)",public,Main gully on looker's left headwall. Gouged down to the ground in track and runout entraining all the snow (photo),
