,Latitude,Longitude,location,Occurrence Time,Zone / Region,Observer Affiliation,Associated Observation,# Avalanches:,Aspect:,Slope Angle:,Elevation:,Vertical Fall:,Destructive Size:,Relative Size:,Type:,Bed Surface:,Width:,Trigger:,Occurrence Date,Observer type,Avalanche Summary,Slab Thickness:
163,48.402214,-114.13365,Just south of Blue Rock cut,02:06 (Exact),Flathead Range & Glacier NP,fac,View Observation,3,E,,3700 ft,,D2,,WL-Wet Loose,G-Ground,,N-Natural,"Dec 27, 2022 (Exact)",forecaster,Stopped in highway ditch. Damaged some vegetation. Gouged to the ground. ,
164,48.402214,-114.13365,Shed 6 E face Snowslip Mtn,00:20 (Exact),Flathead Range & Glacier NP,fac,View Observation,1,E,40°,4500 ft,,D1.5,R2,U-Unknown,O-Old Snow,30 ft,N-Natural,"Dec 27, 2022 (Exact)",public,"The only crown observed today not associated with a wet loose (photo). Mostly obscured from view, details lacking",75 cm (2.5 ft)
165,48.402214,-114.13365,"Blue Rock cut, between Crystal and Stanton Creeks on US Highway 2",01:30 (Exact),Flathead Range & Glacier NP,fac,View Observation,10,E,3650°,3500 ft,,D1.5,,WL-Wet Loose,,,N-Natural,"Dec 27, 2022 (Exact)",forecaster,Debris from 4 of the slides blocked the eastbound lane of US Highway 2. Debris 3-4 ft deep and 20-30 ft wide. ,
166,48.402214,-114.13365,Cascadilla S Side,20:59 (Estimated),Flathead Range & Glacier NP,fac,View Observation,1,SE,40°,5800 ft,1500 ft,D2,R3,WL-Wet Loose,U-Unknown,,N-Natural,"Dec 27, 2022 (Estimated)",forecaster,Assume this slide ran later in the storm since wet debris overran smoother looking debris. ,
167,48.402214,-114.13365,Red Meadow,19:22 (Estimated),Whitefish Range,fac,View Observation,3,,,,,D3,,,,,,"Dec 26, 2022 (Estimated)",forecaster,,
168,48.402214,-114.13365,Nyack,20:22 (Estimated),Flathead Range & Glacier NP,fac,View Observation,2,NE,40°,7000 ft,2000 ft,D3,R3,U-Unknown,U-Unknown,,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,,
169,48.402214,-114.13365,Essex Creek,18:21 (Estimated),Flathead Range & Glacier NP,fac,View Observation,10,S,,6700 ft,,D3,,,,,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,,
170,48.402214,-114.13365,Grant,22:15 (Estimated),Flathead Range & Glacier NP,fac,View Observation,3,E,40°,7500 ft,3000 ft,D3.5,,,,,,"Dec 26, 2022 (Estimated)",public,Information based on photos and description. ,
171,48.402214,-114.13365,N. Dickey,Not Reported,Flathead Range & Glacier NP,fac,View Observation,2,SE,,,,D3,,,,,,"Dec 26, 2022 (Estimated)",public,,
172,48.402214,-114.13365,Southern Whitefish Range,21:49 (Estimated),Whitefish Range,fac,View Observation,1,SE,45°,6000 ft,200 ft,D2,R4,HS-Hard Slab,O-Old Snow,200 ft,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,,60 cm (2 ft)
173,48.402214,-114.13365,Steeps above road,Not Reported,Whitefish Range,fac,View Observation,3,NE,38°,5400 ft,300 ft,D2,R2,SS-Soft Slab,O-Old Snow,50 ft,N-Natural,"Dec 26, 2022 (Exact)",public,,30 cm (1 ft)
174,48.402214,-114.13365,Road cuts adjacent to the North Fork road,Not Reported,Other,fac,View Observation,10,E,35°,3500 ft,40 ft,D1,R1.5,WL-Wet Loose,I-New/Old Interface,10 ft,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,These were noted on steep road cuts and cutbanks adjacent to the North Fork river. Aspects included both east and west. Vertical fall varied between 20-80 feet.,
175,48.402214,-114.13365,Shed 7 West SE face Snowslip Mtn,00:13 (Exact),Flathead Range & Glacier NP,fac,View Observation,1,E,35°,6800 ft,1600 ft,D2.5,R2,SS-Soft Slab,I-New/Old Interface,400 ft,NC-Cornice Fall,"Dec 26, 2022 (Exact)",public,Looks to have run on the Dec 20 storm interface. (photo),50 cm (1.5 ft)
176,48.402214,-114.13365,Path 1163 S face Running Rabbit Mtn,00:13 (Exact),Flathead Range & Glacier NP,fac,View Observation,1,S,40°,7000 ft,2000 ft,D2,R1,WL-Wet Loose,I-New/Old Interface,,N-Natural,"Dec 26, 2022 (Exact)",public,Could not see uppermost starting zone and uncertain if this may have been a slab?,
177,48.402214,-114.13365,SE face Mount Shields above Shields Ck,00:13 (Exact),Flathead Range & Glacier NP,fac,View Observation,2,SE,40°,6800 ft,1500 ft,D2.5,R2,SS-Soft Slab,I-New/Old Interface,300 ft,N-Natural,"Dec 26, 2022 (Exact)",public,2 separate avalanches D2-2.5. Could not see debris terminus (photo),50 cm (1.5 ft)
178,48.402214,-114.13365,Shed 4D Cutbank E face of Snowslip Mtn,00:25 (Exact),Flathead Range & Glacier NP,fac,View Observation,1,E,40°,4600 ft,150 ft,D1,R2,WL-Wet Loose,G-Ground,,N-Natural,"Dec 26, 2022 (Exact)",public,Reported by work train crew. Debris stopped just short of the rail. Looks to have gouged to the ground. (photo),
179,48.402214,-114.13365,West Side Road,08:13 (Estimated),Swan Range,fac,View Observation,1,E,45°,4500 ft,50 ft,D1.5,R3,WL-Wet Loose,G-Ground,50 ft,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,Broke at ground. Entrained a quite the debris for such a little slope. ,
180,48.402214,-114.13365,Stryker Ridge,Not Reported,Whitefish Range,fac,View Observation,3,E,,6300 ft,,D2,,U-Unknown,,,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,,
181,48.402214,-114.13365,Elk,18:04 (Estimated),Flathead Range & Glacier NP,fac,View Observation,3,,,7000 ft,2500 ft,D3,R3,WL-Wet Loose,,,,"Dec 26, 2022 (Estimated)",forecaster,Observed a number of debris piles down into Dickey. All covered in recent snow. ,
182,48.402214,-114.13365,Dickey Creek,Not Reported,Flathead Range & Glacier NP,fac,View Observation,3,S,,6700 ft,2000 ft,D3,R3.5,WS-Wet Slab,O-Old Snow,,N-Natural,"Dec 26, 2022 (Estimated)",public,"3 large debris piles in main fork of Dickey Creek. Debris included trees up to 12"" diameter, was 3m+ deep in places and showed evidence of one path repeating during the storm with a wet pathway through the original debris pile! Could not clearly see crowns but am banking on WS given amount of the debris and adjacent wet slab crowns seen.",
183,48.402214,-114.13365,Elk Mountain,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,E,,7000 ft,1500 ft,D2.5,R2,WL-Wet Loose,I-New/Old Interface,,N-Natural,"Dec 26, 2022 (Estimated)",public,"Only could see the debris piles in the runouts, but they were quite large for not having obvious crown lines (hard to see at distance).",
184,48.402214,-114.13365,Road cuts adjacent to the North Fork road,Not Reported,Other,fac,View Observation,8,E,35°,3500 ft,60 ft,D1.5,R2,SS-Soft Slab,I-New/Old Interface,40 ft,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,These were noted on steep road cuts and cutbanks adjacent to the North Fork river. Aspects included both east and west. Vertical fall varied between 40-80 feet.,40 cm (1.5 ft)
185,48.402214,-114.13365,Upper Dickey Creek,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,S,,5700 ft,1000 ft,D2,R2,WS-Wet Slab,O-Old Snow,50 ft,N-Natural,"Dec 26, 2022 (Estimated)",public,"Estimated slab depth and width from a distance, but saw definitive crownline and assume that it broke in the old persistent weak snow.",125 cm (4 ft)
186,48.402214,-114.13365,Flathead Range (Tunnel Ridge),Not Reported,Flathead Range & Glacier NP,fac,View Observation,7,S,,6700 ft,2000 ft,D2,,WL-Wet Loose,,,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,,
187,48.402214,-114.13365,SE side of Cascadilla,20:25 (Estimated),Flathead Range & Glacier NP,fac,View Observation,2,SE,40°,6000 ft,2000 ft,D2.5,R3,U-Unknown,U-Unknown,,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,1 slide appeared to have descended a fairly long way down the valley in the gully. ,
188,48.402214,-114.13365,Cascadilla N Side,20:27 (Estimated),Flathead Range & Glacier NP,fac,View Observation,1,N,40°,5500 ft,1000 ft,D2,R3.5,HS-Hard Slab,O-Old Snow,200 ft,N-Natural,"Dec 26, 2022 (Estimated)",forecaster,Upper crown appeared to be a dry slab. Lower crown looked more like it failed as a wet slab given the jagged nature of the crown line. ,40 cm (1.5 ft)
189,48.402214,-114.13365,Red Meadow,Not Reported,Whitefish Range,fac,View Observation,5,,,,,,,,,,,"Dec 25, 2022 (Estimated)",public,,
190,48.402214,-114.13365,Path 1163 Headwall S face Running Rabbit Mtn,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SW,40°,5500 ft,1100 ft,D2,R1,SS-Soft Slab,I-New/Old Interface,100 ft,N-Natural,"Dec 25, 2022 (Exact)",public,,50 cm (1.5 ft)
191,48.402214,-114.13365,Jakes S Face Snowslip Mtn,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,S,40°,4800 ft,600 ft,D1.5,R2,WL-Wet Loose,I-New/Old Interface,,N-Natural,"Dec 25, 2022 (Exact)",public,,
192,48.402214,-114.13365,Highway 2 Cutbanks near Skyland TH,00:28 (Exact),Flathead Range & Glacier NP,fac,View Observation,5,SE,40°,5000 ft,50 ft,D1,R3,SS-Soft Slab,I-New/Old Interface,50 ft,N-Natural,"Dec 24, 2022 (Exact)",public,Some looked to have been snowmobile triggered. But at last two were naturals that occurred between 1800-1900 hrs. (photo),15 cm (0.5 ft)
193,48.402214,-114.13365,Rescue Creek,15:35 (Exact),Flathead Range & Glacier NP,fac,View Observation,20,W,35°,4000 ft,6 ft,D1,R1,SS-Soft Slab,I-New/Old Interface,10 ft,AS-Skieru-Unintentional,"Dec 23, 2022 (Exact)",forecaster,,8 cm (0.5 ft)
194,48.402214,-114.13365,BNSF/ Highway 2 right of way,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,S,,4075 ft,80 ft,D1.5,,SS-Soft Slab,O-Old Snow,75 ft,AV-Vehicle,"Dec 22, 2022 (Exact)",forecaster,Triggered by plowing debris from railroad. ,40 cm (1.5 ft)
195,48.402214,-114.13365,"Shed 5 path, Snowslip Mountain",Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,,5700 ft,,D1.5,,,O-Old Snow,,N-Natural,"Dec 21, 2022 (Estimated)",forecaster,"Bed surface looked close to ground, with little snow or blowing snow obscuring crown. ",80 cm (2.5 ft)
196,48.402214,-114.13365,Great Bear Creek,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,40°,6600 ft,,D2.5,,U-Unknown,O-Old Snow,600 ft,N-Natural,"Dec 21, 2022 (Estimated)",forecaster,"Crown on ESE-facing burn just below ridgeline. Wrapped across several terrain features and through burned snags. Couldn't see runout of debris.Date, slab thickness and width estimates. ",75 cm (2.5 ft)
197,48.402214,-114.13365,"Broken Bridge Bowl, Mt. Furlong",Not Reported,Flathead Range & Glacier NP,fac,View Observation,2,NW,38°,7200 ft,,D2,R2,U-Unknown,O-Old Snow,,,"Dec 21, 2022 (Estimated)",forecaster,"Higher, more recent-looking slide on skiers right at top, at typical entry to bowl. Thick crown but not wide. Similar sized slide ~300 ft lower and further skiers left in bowl. More debris on bed surface.  ",100 cm (3.5 ft)
198,48.402214,-114.13365,Running rabbit mountain,Not Reported,Other,fac,View Observation,1,,,,,,,,,,,"Dec 20, 2022 (Exact)",forecaster,,
199,48.402214,-114.13365,"Infinity Path, Snowslip Mountain",Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,S,,6050 ft,1500 ft,D2,R2,,,150 ft,N-Natural,"Dec 20, 2022 (Estimated)",forecaster,Crown mostly blown in. Extent of debris visible from highway.,
200,48.402214,-114.13365,"East face, Mt. Cameahwait",Not Reported,Flathead Range & Glacier NP,fac,View Observation,3,E,,7200 ft,,D3,,HS-Hard Slab,,500 ft,N-Natural,"Dec 20, 2022 (Estimated)",forecaster,"Two wide crowns visible skiers below ridge extending south from Mt. Cameahwait. Not in main bowl, as is typical. Both seemed large and likely the result of wind loading on steep, unsuppported face, though southern crown wrapped around a nose/ sub ridge.",100 cm (3.5 ft)
201,48.402214,-114.13365,SE face of Running Rabbit Mtn - Railroad Shed 10 feeder path,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,,,,D2,,SS-Soft Slab,O-Old Snow,,N-Natural,"Dec 20, 2022 (Exact)",public,"Runout was at least to 5400', likely further, but out of view. Likely this failed on Nov. facets given the slab thickness.",100 cm (3.5 ft)
202,48.402214,-114.13365,South face of Running Rabbit Mtn - Railroad Path 1163,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,S,,7100 ft,2500 ft,D2.5,,SS-Soft Slab,U-Unknown,,N-Natural,"Dec 20, 2022 (Exact)",public,Crown was mostly drifted in. Dimensions are rough estimates. Debris ran to 4600 ft. Uncertain if this failed on Nov. facets.,60 cm (2 ft)
203,48.402214,-114.13365,Cascadilla Creek,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,,5800 ft,,D2,,U-Unknown,U-Unknown,,N-Natural,"Dec 20, 2022 (Estimated)",forecaster,Crown in sparse trees on northeast facing slope above lake.,
204,48.402214,-114.13365,"East Face of Nyack Mountain, Cascadilla Creek",Not Reported,Flathead Range & Glacier NP,fac,View Observation,4,E,45°,6700 ft,,D2,,U-Unknown,,,N-Natural,"Dec 20, 2022 (Estimated)",forecaster,At least 3 partially filled crowns on the east face of Nyack Mountain above Cascadilla Creek. Generally at base of steepest terrain. Highest about 7000 ft. Possibly triggered by sluffing. Couldn't tell extent of runout; whole apron rough with debris.,
205,48.402214,-114.13365,Essex High Rustler/ Backdoor Chute/ Gunbarrel,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,E,,6250 ft,,D2,,,,,N-Natural,"Dec 20, 2022 (Estimated)",forecaster,"Crown mostly blown in except skiers right side. Ran from top, just below trees. Couldn't see extent of runout.",
206,48.402214,-114.13365,Crystal Creek,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,E,,6800 ft,,D3,,U-Unknown,,,N-Natural,"Dec 20, 2022 (Estimated)",forecaster,"On apron below headwall. Deep crown, possibly because slope filled with sluff debris. ",150 cm (5 ft)
207,48.402214,-114.13365,South face of Snowslip Mtn - Railroad Shed 7 West,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,S,,6200 ft,,D2,,SS-Soft Slab,O-Old Snow,,N-Natural,"Dec 20, 2022 (Exact)",public,"Crown drifted back in, dimensions are rough estimates. Thinking this likely failed on Nov. facets given the crown and visible ground features. ",75 cm (2.5 ft)
208,48.402214,-114.13365,Highway 2 corridor,Not Reported,Flathead Range & Glacier NP,fac,View Observation,4,,,4100 ft,,D1,,SS-Soft Slab,,15 ft,N-Natural,"Dec 20, 2022 (Exact)",public,"several small soft slabs failing in the storm snow on steep cut banks above the Hwy. These were 3-5"" thick and mostly only propagated 20-30"" but a few pushing 50'.",12 cm (0.5 ft)
209,48.402214,-114.13365,Stryker Loop,Not Reported,Whitefish Range,fac,View Observation,1,,,,,D2,,,,,N-Natural,"Dec 20, 2022 (Estimated)",public,,60 cm (2 ft)
210,48.402214,-114.13365,No name peak N side Noisy Creek,Not Reported,Swan Range,fac,View Observation,2,S,,5500 ft,,D1,,SS-Soft Slab,,,N-Natural,"Dec 18, 2022 (Estimated)",public,"N R3 D1 at 5500' S above cliff supported slope.     N R1 D1 at 6200' S, small part of larger bowl.",30 cm (1 ft)
211,48.402214,-114.13365,Apgars,13:19 (Exact),Whitefish Range,fac,View Observation,2,SE,38°,5500 ft,20 ft,D1,R1,L-Dry Loose,S-New Snow,,AS-Skierc-Intentional,"Dec 18, 2022 (Exact)",forecaster,,
212,48.402214,-114.13365,Apgar Range,Not Reported,Whitefish Range,fac,View Observation,1,N,,5800 ft,,D1,,SS-Soft Slab,,,AS-Skierc-Intentional,"Dec 18, 2022 (Exact)",public,See details above. Would have run further downslope if slope angle were steeper.,8 cm (0.5 ft)
213,48.402214,-114.13365,WMR,10:30 (Exact),Whitefish Range,fac,View Observation,1,,,6400 ft,,D1.5,,,,,AE-Explosive triggeredc-Intentional,"Dec 11, 2022 (Exact)",forecaster,Results from avalanche mitigation with explosives.,30 cm (1 ft)
214,48.402214,-114.13365,Shed 7 Ridge (BNSF test slopes),Not Reported,Flathead Range & Glacier NP,fac,View Observation,2,NE,,6100 ft,50 ft,D1,R2,SS-Soft Slab,I-New/Old Interface,30 ft,AS-Skierc-Intentional,"Dec 9, 2022 (Exact)",public,,30 cm (1 ft)
215,48.402214,-114.13365,Slopes above the Beaver pond,Not Reported,Whitefish Range,fac,View Observation,1,E,40°,6500 ft,100 ft,D2,R2.5,SS-Soft Slab,O-Old Snow,40 ft,U-Unknown,"Dec 4, 2022 (Estimated)",forecaster,It is unknown if it was skier-triggered or remote-triggered avalanche.,45 cm (1.5 ft)
216,48.402214,-114.13365,Shed 7 West Snowslip Mtn,Not Reported,Flathead Range & Glacier NP,fac,View Observation,2,NE,,6800 ft,100 ft,D1.5,R1,SS-Soft Slab,O-Old Snow,25 ft,NC-Cornice Fall,"Dec 3, 2022 (Estimated)",public,,50 cm (1.5 ft)
217,48.402214,-114.13365,Whitefish Mountain,Not Reported,Whitefish Range,fac,View Observation,1,N,,7200 ft,,D2,,U-Unknown,,,N-Natural,"Dec 3, 2022 (Estimated)",public,Seen from distance; size and date guesstimated.,
218,48.402214,-114.13365,Crown Bowl Avalanche,10:44 (Estimated),Swan Range,fac,View Observation,2,NE,39°,6600 ft,600 ft,D2,,SS-Soft Slab,,100 ft,U-Unknown,"Dec 3, 2022 (Estimated)",public,,40 cm (1.5 ft)
219,48.402214,-114.13365,Mt. Aeneas,Not Reported,Swan Range,fac,View Observation,1,N,,7400 ft,,D1.5,,U-Unknown,,,N-Natural,"Dec 2, 2022 (Estimated)",public,Seen 12/4/22; date estimated from other recent activity,
220,48.402214,-114.13365,Cal's,Not Reported,Whitefish Range,fac,View Observation,1,S,,6200 ft,50 ft,D1,,SS-Soft Slab,,30 ft,AE-Explosive triggered,"Dec 2, 2022 (Exact)",forecaster,Pocket of drifted snow at top of slope.,30 cm (1 ft)
221,48.402214,-114.13365,Snowshed Mtn,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,E,,6800 ft,,D2,R2,SS-Soft Slab,O-Old Snow,100 ft,N-Natural,"Dec 2, 2022 (Estimated)",public,Looks like this was reported in an earlier observation too,75 cm (2.5 ft)
222,48.402214,-114.13365,Haskill,Not Reported,Whitefish Range,fac,View Observation,1,SW,,6000 ft,15 ft,D1,,SS-Soft Slab,O-Old Snow,10 ft,AS-Skierr-Remote,"Dec 2, 2022 (Exact)",forecaster,"Triggered remotely by slope cut above. Steep, convex, unsupported knob",35 cm (1 ft)
223,48.402214,-114.13365,Snowshed Mtn SE face above Sheep Ck,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,SE,,7300 ft,,D3,R4,SS-Soft Slab,O-Old Snow,700 ft,N-Natural,"Dec 2, 2022 (Estimated)",public,Could not view the runout,100 cm (3.5 ft)
224,48.402214,-114.13365,Mt. Cameahwait,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,E,,7300 ft,,D2.5,R2,SS-Soft Slab,O-Old Snow,400 ft,N-Natural,"Dec 2, 2022 (Estimated)",public,,100 cm (3.5 ft)
225,48.402214,-114.13365,WMR,14:05 (Exact),Whitefish Range,fac,View Observation,1,SE,,6700 ft,5 ft,D1,,SS-Soft Slab,O-Old Snow,15 ft,AS-Skieru-Unintentional,"Dec 2, 2022 (Exact)",forecaster,"Triggered by skier cutting down steep slope onto cat track. Slab thinner, with pronounced depth hoar in failure layer.",35 cm (1 ft)
226,48.402214,-114.13365,WMR - Haskill Slide (closed),08:30 (Exact),Whitefish Range,fac,View Observation,1,E,38°,5900 ft,400 ft,D2,R2,SS-Soft Slab,O-Old Snow,,AS-Skierr-Remote,"Dec 2, 2022 (Exact)",public,Witnessed by skiers on East route skinning up. Rider skied out of moving debris or powder cloud.,
227,48.402214,-114.13365,Mt. Aeneas,Not Reported,Swan Range,fac,View Observation,1,N,,7400 ft,,D2,,U-Unknown,,,N-Natural,"Dec 2, 2022 (Estimated)",public,"Seen 12/4/22; guessing it ran sometime late in this last storm cycle.   It had some fresh snow on top of it, but was still fairly visible. ",
228,48.402214,-114.13365,test,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,,,,,,,,,,,"Dec 1, 2022 (Exact)",public,test,
229,48.402214,-114.13365,48.0N -113.0W,Not Reported,Swan Range,fac,View Observation,1,S,,5000 ft,500 ft,D1,R1,SS-Soft Slab,I-New/Old Interface,50 ft,U-Unknownc-Intentional,"Dec 1, 2022 (Exact)",public,text text text  more text text,100 cm (3.5 ft)
230,48.402214,-114.13365,48.0n -0113.0W,Not Reported,Swan Range,fac,View Observation,1,SE,,5500 ft,,D5,,R-Roof,,,N-Naturalc-Intentional,"Dec 1, 2022 (Estimated)",public,text,50 cm (1.5 ft)
231,48.402214,-114.13365,Central Whitefish Range,Not Reported,Whitefish Range,fac,View Observation,1,,,,,D1.5,,SS-Soft Slab,,,AS-Skierr-Remote,"Dec 1, 2022 (Exact)",public,,50 cm (1.5 ft)
232,48.402214,-114.13365,E face of Peak 6437,Not Reported,Swan Range,fac,View Observation,2,E,,6000 ft,,D1,,L-Dry Loose,,,N-Natural,"Dec 1, 2022 (Estimated)",public,,
233,48.402214,-114.13365,Misery Cabin area,Not Reported,Swan Range,fac,View Observation,1,NE,,5800 ft,,D1,,SS-Soft Slab,,,AM-Snowmobilec-Intentional,"Nov 30, 2022 (Exact)",public,Short road cut that produced large amounts of debris,40 cm (1.5 ft)
234,48.402214,-114.13365,test chrome,Not Reported,Swan Range,fac,View Observation,1,E,,3000 ft,,D2,,SS-Soft Slab,,,AU-Unknown artificial triggeru-Unintentional,"Nov 29, 2022 (Exact)",public,test chrome,100 cm (3.5 ft)
235,48.402214,-114.13365,Near Ghoulies Point,15:00 (Exact),Whitefish Range,fac,View Observation,2,E,37°,6400 ft,125 ft,D1.5,R2,SS-Soft Slab,I-New/Old Interface,15 ft,AS-Skierc-Intentional,"Nov 28, 2022 (Exact)",public,Very soft surface slab which limited propagation.,1 cm (0 ft)
236,48.402214,-114.13365,Ghoulie to Beaver Ponds,Not Reported,Whitefish Range,fac,View Observation,1,NE,38°,6500 ft,100 ft,D1.5,R2,SS-Soft Slab,O-Old Snow,20 ft,AS-Skieru-Unintentional,"Nov 27, 2022 (Exact)",public,"Slide was 12-16 inches deep and about 20 feet wide consisting of loose and unstable snow collected during the Sunday morning storm cycle, likely wind transported. ",35 cm (1 ft)
237,48.402214,-114.13365,Near Ghoulie Point,15:00 (Exact),Whitefish Range,fac,View Observation,2,E,37°,6300 ft,125 ft,D1.5,R1,SS-Soft Slab,I-New/Old Interface,15 ft,AS-Skierc-Intentional,"Nov 27, 2022 (Exact)",forecaster,The surface slab was a bit too soft to propagate.,1 cm (0 ft)
238,48.402214,-114.13365,Shed 7 West,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,E,,6700 ft,50 ft,D1,R1,C-Cornice,,15 ft,N-Natural,"Nov 26, 2022 (Estimated)",public,"Very small (D1 size) cornice-fall observed in Shed 7 West, at least a couple days old. ",
239,48.402214,-114.13365,34.33N 120.0W,Not Reported,Whitefish Range,fac,View Observation,1,S,40°,3000 ft,1000 ft,D1,R1,U-Unknown,U-Unknown,100 ft,U-Unknownc-Intentional,"Nov 25, 2022 (Exact)",public,test,100 cm (3.5 ft)
240,48.402214,-114.13365,Noisy Basin Road,Not Reported,Swan Range,fac,View Observation,1,NE,,5400 ft,,D1,R1,SS-Soft Slab,O-Old Snow,20 ft,AS-Skierc-Intentional,"Nov 23, 2022 (Exact)",public,"I approached the edge of the road and sent cracks from about 8ft back out to the edge, which then triggered a small section about 6-8” deep, and probably 20ft across to release. This was on a north-eastern aspect off the roadside and was probably between 30-40°.",15 cm (0.5 ft)
241,48.402214,-114.13365,"Crown Bowl, Jewel Basin",10:00 (Estimated),Swan Range,fac,View Observation,1,NW,,,,D1.5,,SS-Soft Slab,O-Old Snow,,N-Natural,"Nov 23, 2022 (Estimated)",forecaster,Observed debris at the base of Crown Bowl.  Could not see track or start zone due to poor visability. ,
242,48.402214,-114.13365,Jewel Basin,16:15 (Exact),Swan Range,fac,View Observation,1,NE,45°,6000 ft,10 ft,D1,,SS-Soft Slab,O-Old Snow,30 ft,N-Naturalr-Remote,"Nov 23, 2022 (Exact)",forecaster,"Small slab on the lee side of a short, steep rollover.",20 cm (0.5 ft)
243,48.402214,-114.13365,test firefox,Not Reported,Swan Range,fac,View Observation,1,SW,,3000 ft,,D2.5,,U-Unknown,,,U-Unknownc-Intentional,"Nov 8, 2022 (Estimated)",public,test firefox,100 cm (3.5 ft)
244,48.402214,-114.13365,Whitefish Mountain,Not Reported,Whitefish Range,fac,View Observation,2,N,,7200 ft,,D2,,U-Unknown,,,N-Natural,"Nov 5, 2022 (Estimated)",public,Date estimated,35 cm (1 ft)
245,48.402214,-114.13365,Crown Bowl,Not Reported,Swan Range,fac,View Observation,5,W,,6900 ft,,D1.5,,SS-Soft Slab,,,AS-Skierc-Intentional,"Nov 4, 2022 (Exact)",public,Triggered by ski cuts,25 cm (1 ft)
