,Metric,Last 24 Hours,Today,Tonight,Tomorrow,range,station,date
1,Temperatures,Low: 26° F | High: 32° F,28 to 35 ° F,22 to 26 ° F,26 to 33 ° F,Flathead Range & Glacier NP,,2024-02-23
2,Wind Direction,West,West,West,Southwest,Flathead Range & Glacier NP,,2024-02-23
3,Wind Speed,5G41 mph,12,11,15G25,Flathead Range & Glacier NP,,2024-02-23
4,Snowfall,"0""","0""","0 to 1""","2"" to 4""",Flathead Range & Glacier NP,,2024-02-23
5,Snow Line,4000',4500',4500',4000',Flathead Range & Glacier NP,,2024-02-23
0,Cloud Cover,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-22
1,Temperatures,Low: 26° F | High: 32° F,26 to 32 ° F,20 to 25 ° F,27 to 33 ° F,Flathead Range & Glacier NP,,2024-02-22
2,Wind Direction,West-Northwest,West,West,West,Flathead Range & Glacier NP,,2024-02-22
3,Wind Speed,5G41,18,19,22G34,Flathead Range & Glacier NP,,2024-02-22
4,Snowfall,"0""","0"" to 3""","0 to 1""","0""",Flathead Range & Glacier NP,,2024-02-22
5,Snow Line,5000',4000',4000',3500',Flathead Range & Glacier NP,,2024-02-22
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-21
1,Temperatures,Low:28 ° F | High:32 ° F,28 to 35 ° F,22 to 26 ° F,27 to 33 ° F,Flathead Range & Glacier NP,,2024-02-21
2,Wind Direction,Southwest,West,West,West,Flathead Range & Glacier NP,,2024-02-21
3,Wind Speed,7G18 mph,12,11,17G28,Flathead Range & Glacier NP,,2024-02-21
4,Snowfall,"3""","0""","0 to 1""","0"" to 2""",Flathead Range & Glacier NP,,2024-02-21
5,Snow Line,"4000""",4500',4500',4000',Flathead Range & Glacier NP,,2024-02-21
0,Cloud Cover,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-20
1,Temperatures,Low:24 ° F | High:34 ° F,29 to 36 ° F,22 to 27 ° F,29 to 35 ° F,Flathead Range & Glacier NP,,2024-02-20
2,Wind Direction,West southwest,Southwest,West,West,Flathead Range & Glacier NP,,2024-02-20
3,Wind Speed,14G53mph,19G30,18G30,11,Flathead Range & Glacier NP,,2024-02-20
4,Snowfall,"1""","0"" to 2""","1"" to 3""","0""",Flathead Range & Glacier NP,,2024-02-20
5,Snow Line,5000',5000',4500',4500',Flathead Range & Glacier NP,,2024-02-20
0,Cloud Cover,Partly Cloudy,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-19
1,Temperatures,Low: 21° F | High:26 ° F,31 to 38 ° F,23 to 26 ° F,30 to 36 ° F,Flathead Range & Glacier NP,,2024-02-19
2,Wind Direction,West,Southwest,Southwest,Southwest,Flathead Range & Glacier NP,,2024-02-19
3,Wind Speed,4G26,9,11G23,19G30,Flathead Range & Glacier NP,,2024-02-19
4,Snowfall,"0""","0""","0""","1"" to 2""",Flathead Range & Glacier NP,,2024-02-19
5,Snow Line,3500',4000',4500',5000',Flathead Range & Glacier NP,,2024-02-19
0,Cloud Cover,Mostly Clear,Mostly Cloudy,Mostly Cloudy,Partly Cloudy,Flathead Range & Glacier NP,,2024-02-18
1,Temperatures,Low: 11° F | High: 26° F,24 to 31 ° F,18 to 22 ° F,31 to 38 ° F,Flathead Range & Glacier NP,,2024-02-18
2,Wind Direction,West,West,West,Southwest,Flathead Range & Glacier NP,,2024-02-18
3,Wind Speed,5G21 mph,11G22,12,8,Flathead Range & Glacier NP,,2024-02-18
4,Snowfall,"0""","0 to 1""","0 to 1""","0""",Flathead Range & Glacier NP,,2024-02-18
5,Snow Line,1000',2500',3500',4000',Flathead Range & Glacier NP,,2024-02-18
0,Cloud Cover,Mostly Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-17
1,Temperatures,Low: -1° F | High: 19° F,25 to 34 ° F,10 to 15 ° F,25 to 32 ° F,Flathead Range & Glacier NP,,2024-02-17
2,Wind Direction,Southwest,Southwest,Southwest,Southwest,Flathead Range & Glacier NP,,2024-02-17
3,Wind Speed,3G13 mph,7,8,11G22,Flathead Range & Glacier NP,,2024-02-17
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-02-17
5,Snow Line,500',1000',2000',3000',Flathead Range & Glacier NP,,2024-02-17
0,Cloud Cover,Mostly Cloudy,Mostly Clear,Clear,Mostly Clear,Flathead Range & Glacier NP,,2024-02-16
1,Temperatures,Low: 1 ° F | High: 6 ° F,16 to 22 ° F,0 to 4 ° F,26 to 36 ° F,Flathead Range & Glacier NP,,2024-02-16
2,Wind Direction,South-Southeast,Northeast,Southwest,Southwest,Flathead Range & Glacier NP,,2024-02-16
3,Wind Speed,10G39 mph,7,5,6,Flathead Range & Glacier NP,,2024-02-16
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-02-16
5,Snow Line,1000',0',0',1000',Flathead Range & Glacier NP,,2024-02-16
0,Cloud Cover,Mostly Clear -> Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Clear,Flathead Range & Glacier NP,,2024-02-15
1,Temperatures,Low: 2° F | High: 15° F,6 to 12 ° F,-7 to -2 ° F,17 to 23 ° F,Flathead Range & Glacier NP,,2024-02-15
2,Wind Direction,South,Northeast,East,East,Flathead Range & Glacier NP,,2024-02-15
3,Wind Speed,11G39,15,12,6,Flathead Range & Glacier NP,,2024-02-15
4,Snowfall,"0""","1""","0""","0""",Flathead Range & Glacier NP,,2024-02-15
5,Snow Line,1000',1000',1000',1000',Flathead Range & Glacier NP,,2024-02-15
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-14
1,Temperatures,Low: 5° F | High:19 ° F,12 to 19 ° F,2 to 7 ° F,7 to 14 ° F,Flathead Range & Glacier NP,,2024-02-14
2,Wind Direction,Southeast,Northeast,Northeast,Northeast,Flathead Range & Glacier NP,,2024-02-14
3,Wind Speed,8G39mph,9,12,15,Flathead Range & Glacier NP,,2024-02-14
4,Snowfall,"2""","0""","0 to 1""","1"" to 2""",Flathead Range & Glacier NP,,2024-02-14
5,Snow Line,0',0',0',0',Flathead Range & Glacier NP,,2024-02-14
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-13
1,Temperatures,Low: 18° F | High: 26° F,18 to 25 ° F,3 to 8 ° F,13 to 19 ° F,Flathead Range & Glacier NP,,2024-02-13
2,Wind Direction,Northwest,West,Northeast,Northeast,Flathead Range & Glacier NP,,2024-02-13
3,Wind Speed,5G26mph,8G20,6G20,9,Flathead Range & Glacier NP,,2024-02-13
4,Snowfall,"7""","3"" to 5""","1"" to 2""","0 to 1""",Flathead Range & Glacier NP,,2024-02-13
5,Snow Line,3500',1500',',',Flathead Range & Glacier NP,,2024-02-13
0,Cloud Cover,Overcast,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-12
1,Temperatures,Low: 17° F | High: 23° F,25 to 31 ° F,14 to 19 ° F,20 to 26 ° F,Flathead Range & Glacier NP,,2024-02-12
2,Wind Direction,Southwest,West,West,West,Flathead Range & Glacier NP,,2024-02-12
3,Wind Speed,10G54,19G31,11G23,10,Flathead Range & Glacier NP,,2024-02-12
4,Snowfall,"2""","3"" to 7""","4"" to 9""","2"" to 3""",Flathead Range & Glacier NP,,2024-02-12
5,Snow Line,3000',4000',3000',1500',Flathead Range & Glacier NP,,2024-02-12
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-11
1,Temperatures,Low: 13° F | High: 20° F,24 to 31 ° F,21 to 25 ° F,24 to 30 ° F,Flathead Range & Glacier NP,,2024-02-11
2,Wind Direction,West-Northwest,Southwest,Southwest,West,Flathead Range & Glacier NP,,2024-02-11
3,Wind Speed,5G23,11G22,18G32,20G32,Flathead Range & Glacier NP,,2024-02-11
4,Snowfall,0,"0 to 1""","1"" to 5""","2"" to 7""",Flathead Range & Glacier NP,,2024-02-11
5,Snow Line,2000',3000',3500',3500',Flathead Range & Glacier NP,,2024-02-11
0,Cloud Cover,Mostly Cloudy,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-10
1,Temperatures,Low: 13 ° F | High: 20 ° F,18 to 25 ° F,13 to 18 ° F,24 to 30 ° F,Flathead Range & Glacier NP,,2024-02-10
2,Wind Direction,West-Northwest,West,West,Southwest,Flathead Range & Glacier NP,,2024-02-10
3,Wind Speed,5G42 mph,14G24,13G24,11G22,Flathead Range & Glacier NP,,2024-02-10
4,Snowfall,"4""","0""","0""","0"" to 2""",Flathead Range & Glacier NP,,2024-02-10
5,Snow Line,1000',1000',2000',2500',Flathead Range & Glacier NP,,2024-02-10
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-09
1,Temperatures,Low: 20° F | High: 23° F,19 to 25 ° F,8 to 13 ° F,19 to 25 ° F,Flathead Range & Glacier NP,,2024-02-09
2,Wind Direction,Northwest,North,West,West,Flathead Range & Glacier NP,,2024-02-09
3,Wind Speed,5G42 mph,7,6,12,Flathead Range & Glacier NP,,2024-02-09
4,Snowfall,"6""","1"" to 2""","0 to 1""","0""",Flathead Range & Glacier NP,,2024-02-09
5,Snow Line,2000',1500',500',1000',Flathead Range & Glacier NP,,2024-02-09
0,Cloud Cover,Mostly Clear,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-08
1,Temperatures,Low: 22° F | High: 31° F,24 to 29 ° F,15 to 20 ° F,19 to 25 ° F,Flathead Range & Glacier NP,,2024-02-08
2,Wind Direction,Northwest,West,West,North,Flathead Range & Glacier NP,,2024-02-08
3,Wind Speed,4G18 mph,9,11,8,Flathead Range & Glacier NP,,2024-02-08
4,Snowfall,"0""","0""","1"" to 3""","2"" to 3""",Flathead Range & Glacier NP,,2024-02-08
5,Snow Line,4500',3000',2000',1500',Flathead Range & Glacier NP,,2024-02-08
0,Cloud Cover,Clear,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-07
1,Temperatures,Low:27 ° F | High:37 ° F,26 to 31 ° F,16 to 20 ° F,24 to 29 ° F,Flathead Range & Glacier NP,,2024-02-07
2,Wind Direction,Variable,Northeast,Northeast,West,Flathead Range & Glacier NP,,2024-02-07
3,Wind Speed,CALM,9,8,7,Flathead Range & Glacier NP,,2024-02-07
4,Snowfall,"0""","0 to 1""","0 to 1""","0""",Flathead Range & Glacier NP,,2024-02-07
5,Snow Line,5500',3500',2500',2500',Flathead Range & Glacier NP,,2024-02-07
0,Cloud Cover,Mostly Cloudy,Partly Cloudy,Partly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-06
1,Temperatures,Low: 22° F | High: 31° F,32 to 38 ° F,18 to 22 ° F,28 to 33 ° F,Flathead Range & Glacier NP,,2024-02-06
2,Wind Direction,Southwest,South,East,Northeast,Flathead Range & Glacier NP,,2024-02-06
3,Wind Speed,12G40,7,5,8,Flathead Range & Glacier NP,,2024-02-06
4,Snowfall,"2""","0""","0""","0 to 1""",Flathead Range & Glacier NP,,2024-02-06
5,Snow Line,3000',4500',4500',4000',Flathead Range & Glacier NP,,2024-02-06
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Partly Cloudy,Flathead Range & Glacier NP,,2024-02-05
1,Temperatures,Low: 23° F | High: 14° F,30 to 36 ° F,20 to 25 ° F,31 to 37 ° F,Flathead Range & Glacier NP,,2024-02-05
2,Wind Direction,SE,Southwest,South,South,Flathead Range & Glacier NP,,2024-02-05
3,Wind Speed,11G24,10,9,8,Flathead Range & Glacier NP,,2024-02-05
4,Snowfall,"1""","0 to 1""","0""","0""",Flathead Range & Glacier NP,,2024-02-05
5,Snow Line,3000',4000',4500',4000',Flathead Range & Glacier NP,,2024-02-05
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-04
1,Temperatures,Low: 17° F | High: 31° F,22 to 28 ° F,14 to 19 ° F,31 to 37 ° F,Flathead Range & Glacier NP,,2024-02-04
2,Wind Direction,Northwest,Northeast,Southeast,South,Flathead Range & Glacier NP,,2024-02-04
3,Wind Speed,4G22,7,9,12,Flathead Range & Glacier NP,,2024-02-04
4,Snowfall,"2""","1""","0""","0""",Flathead Range & Glacier NP,,2024-02-04
5,Snow Line,3500',1500',2500',4500',Flathead Range & Glacier NP,,2024-02-04
0,Cloud Cover,Mostly Cloudy,Overcast,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-03
1,Temperatures,Low: 27 ° F | High: 39 ° F,28 to 34 ° F,13 to 18 ° F,22 to 29 ° F,Flathead Range & Glacier NP,,2024-02-03
2,Wind Direction,Northwest,Northwest,Northeast,Northeast,Flathead Range & Glacier NP,,2024-02-03
3,Wind Speed,2G10 mph,10G22,16G29,10G21,Flathead Range & Glacier NP,,2024-02-03
4,Snowfall,"0""","3"" to 4""","2"" to 5""","1""",Flathead Range & Glacier NP,,2024-02-03
5,Snow Line,5500',4500',2500',1000',Flathead Range & Glacier NP,,2024-02-03
0,Cloud Cover,Mostly Clear,Mostly Cloudy,Mostly Cloudy,Overcast,Flathead Range & Glacier NP,,2024-02-02
1,Temperatures,Low: 38° F | High: 45° F,35 to 42 ° F,25 to 29 ° F,28 to 33 ° F,Flathead Range & Glacier NP,,2024-02-02
2,Wind Direction,South,Southwest,Northwest,West,Flathead Range & Glacier NP,,2024-02-02
3,Wind Speed,9G29 mph,6,7,9,Flathead Range & Glacier NP,,2024-02-02
4,Snowfall,"0""","0""","2"" to 3""","3"" to 5""",Flathead Range & Glacier NP,,2024-02-02
5,Snow Line,7000',6000',5500',4500',Flathead Range & Glacier NP,,2024-02-02
0,Cloud Cover,Partly Cloudy,Mostly Clear,Partly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-02-01
1,Temperatures,Low: 41° F | High: 47° F,39 to 47 ° F,27 to 31 ° F,34 to 42 ° F,Flathead Range & Glacier NP,,2024-02-01
2,Wind Direction,South,South,South,Southwest,Flathead Range & Glacier NP,,2024-02-01
3,Wind Speed,11G42,12G22,10,6,Flathead Range & Glacier NP,,2024-02-01
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-02-01
5,Snow Line,9000',6500',6500',6000',Flathead Range & Glacier NP,,2024-02-01
0,Cloud Cover,Mostly Cloudy,Mostly Clear,Mostly Clear,Mostly Clear,Flathead Range & Glacier NP,,2024-01-31
1,Temperatures,Low:39 ° F | High: 44° F,41 to 48 ° F,28 to 32 ° F,39 to 47 ° F,Flathead Range & Glacier NP,,2024-01-31
2,Wind Direction,South Southwest,South,South,South,Flathead Range & Glacier NP,,2024-01-31
3,Wind Speed,13G41mph,10,9,11,Flathead Range & Glacier NP,,2024-01-31
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-01-31
5,Snow Line,7500',7000',7000',6000',Flathead Range & Glacier NP,,2024-01-31
